token_symbol,chain,contract_address,notes
UNI,eth,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,ethereum canonical
UNI,arbitrum,0xfa7f8980b0f1e64a2062791cc3b0871572f1f7f0,arbitrum bridged
UNI,optimism,0x6fd9d7ad17242c41f7131d257212c54a0e816691,optimism bridged
AAVE,eth,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,ethereum canonical
AAVE,arbitrum,0xba5ddd1f9d7f570dc94a51479a000e3bce967196,arbitrum bridged
AAVE,base,0x63706e401c06ac8513145b7687a14804d17f814b,base bridged
AAVE,optimism,0x76fb31fb4af56892a25e32cfc43de717950c9278,optimism bridged
LINK,eth,0x514910771af9ca656af840dff83e8264ecf986ca,ethereum canonical
LINK,arbitrum,0xf97f4df75117a78c1a5a0dbb814af92458539fb4,arbitrum bridged
LINK,base,0x88fb150bdc53a65fe94dea0c9ba0a6daf8c6e196,base bridged
LINK,optimism,0x350a791bfc2c21f9ed5d10980dad2e2638ffa7f6,optimism bridged
ARB,arbitrum,0x912ce59144191c1204e64559fe8253a0e49e6548,arbitrum canonical
ARB,eth,0xb50721bcf8d664c30412cfbc6cf7a15145234ad1,ethereum bridged
OP,optimism,0x4200000000000000000000000000000000000042,optimism canonical
LDO,eth,0x5a98fcbea516cf06857215779fd812ca3bef1b32,ethereum canonical
LDO,arbitrum,0x13ad51ed4f1b7e9dc168d8a00cb3f4ddd85efa60,arbitrum bridged
LDO,optimism,0xfdb794692724153d1488ccdbe0c56c252596735f,optimism bridged
CRV,eth,0xd533a949740bb3306d119cc777fa900ba034cd52,ethereum canonical
CRV,arbitrum,0x11cdb42b0eb46d95f990bedd4695a6e3fa034978,arbitrum bridged
CRV,base,0x8ee73c484a26e0a5df2ee2a4960b789967dd0415,base bridged
CRV,optimism,0x0994206dfe8de6ec6920ff4d779b0d950605fb53,optimism bridged
PENDLE,eth,0x808507121b80c02388fad14726482e061b8da827,ethereum canonical
PENDLE,arbitrum,0x0c880f6761f1af8d9aa9c466984b80dab9a8c9e8,arbitrum bridged
PENDLE,base,0xa99f6e6785da0f5d6fb42495fe424bce029eeb3e,base bridged
PENDLE,optimism,0xbc7b1ff1c6989f006a1185318ed4e7b5796e66e1,optimism bridged
PEPE,eth,0x6982508145454ce325ddbe47a25d4ec3d2311933,ethereum canonical
PEPE,arbitrum,0x25d887ce7a35172c62febfd67a1856f20faebb00,arbitrum bridged
ENA,eth,0x57e114b691db790c35207b2e685d4a43181e6061,ethereum canonical
ENA,arbitrum,0x58538e6a46e07434d7e7375bc268d3cb839c0133,arbitrum bridged
ENA,base,0x58538e6a46e07434d7e7375bc268d3cb839c0133,base bridged
ENA,optimism,0x58538e6a46e07434d7e7375bc268d3cb839c0133,optimism bridged
COMP,eth,0xc00e94cb662c3520282e6f5717214004a7f26888,ethereum canonical
COMP,arbitrum,0x354a6da3fcde098f8389cad84b0182725c6c91de,arbitrum bridged
COMP,base,0x9e1028f5f1d5ede59748ffcee5532509976840e0,base bridged
MORPHO,eth,0x58d97b57bb95320f9a05dc918aef65434969c2b2,ethereum canonical
MORPHO,base,0xbaa5cc21fd487b8fcc2f632f3f4e8d37262a0842,base canonical
MORPHO,arbitrum,0x40bd670a58238e6e230c430bbb5ce6ec0d40df48,arbitrum bridged
SUSHI,eth,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,ethereum canonical
SUSHI,arbitrum,0xd4d42f0b6def4ce0383636770ef773390d85c61a,arbitrum bridged
SUSHI,base,0x7d49a065d17d6d4a55dc13649901fdbb98b2afba,base bridged
SUSHI,bsc,0x947950bcc74888a40ffa2593c5798f11fc9124c4,bnb chain bridged
SUSHI,solana,ChVzxWRmrTeSgwd3Ui3UumcN8KX7VK3WaD4KGeSKpypj,solana bridged
1INCH,eth,0x111111111117dc0aa78b770fa6a738034120c302,ethereum canonical
1INCH,base,0xc5fecc3a29fb57b5024eec8a2239d4621e111cbe,base bridged
1INCH,bsc,0x111111111117dc0aa78b770fa6a738034120c302,bnb chain bridged
CAKE,bsc,0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82,bnb chain canonical
CAKE,eth,0x152649ea73beab28c5b49b26eb48f7ead6d4c898,ethereum bridged
CAKE,base,0x3055913c90fcc1a6ce9a358911721eeb942013a1,base bridged
CAKE,arbitrum,0x1b896893dfc86bb67cf57767298b9073d2c1ba2c,arbitrum bridged
CAKE,solana,4qQeZ5LwSz6HuupUu8jCtgXyW1mYQcNbFAW1sWZp89HL,solana bridged
GMX,arbitrum,0xfc5a1a6eb076a2c7ad06ed22c90d7e710e35ad0a,arbitrum canonical
GMX,avax,0x62edc0692bd897d2295872a9ffcac5425011c661,avalanche canonical
SNX,eth,0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f,ethereum canonical
SNX,optimism,0x8700daec35af8ff88c16bdf0418774cb3d7599b4,optimism canonical
SNX,base,0x22e6966b799c4d5b13be962e1d117b56327fda66,base bridged
ONDO,eth,0xfaba6f8e4a5e8ab82f62fe7c39859fa577269be3,ethereum canonical
EIGEN,eth,0xec53bf9167f50cdeb3ae105f56099aaab9061f83,ethereum canonical
EIGEN,base,0x2081ab0d9ec9e4303234ab26d86b20b3367946ee,base bridged
ETHFI,eth,0xfe0c30065b384f05761f15d0cc899d4f9f9cc0eb,ethereum canonical
ETHFI,base,0x6c240dda6b5c336df09a4d011139beaaa1ea2aa2,base bridged
ETHFI,arbitrum,0x7189fb5b6504bbff6a852b13b7b82a3c118fdc27,arbitrum bridged
GRT,eth,0xc944e90c64b2c07662a292be6244bdf05cda44a7,ethereum canonical
GRT,arbitrum,0x9623063377ad1b27544c965ccd7342f7ea7e88c7,arbitrum bridged
ENS,eth,0xc18360217d8f7ab5e7c516566761ea12ce7f9d72,ethereum canonical
WLD,optimism,0xdc6ff44d5d932cbd77b52e5612ba0529dc6226f1,optimism canonical
WLD,eth,0x163f8c2467924be0ae7b5347228cabf260318753,ethereum bridged
STRK,starknet,0x04718f5a0fc34cc1af16a1cdee98ffb20c31f5cd61d6ab07201858f4287c938d,starknet canonical
STRK,eth,0xca14007eff0db1f8135f4c25b34de49ab0d42766,ethereum bridged
ZK,zksync,0x5a7d6b2f92c77fad6ccabd7ee0624e64907eaf3e,zksync canonical
ZK,eth,0x66a5cfb2e9c529f14fe6364ad1075df3a649c0a5,ethereum bridged
JUP,solana,JUPyiwrYJFskUPiHa7hkeR8VUtAeFoSYbKedZNsDvCN,solana canonical
RAY,solana,4k3Dyjzvzp8eMZWUXbBCjEvwSkkk59S5iCNLY3QrkX6R,solana canonical
JTO,solana,jtojtomepa8beP8AuQc6eXt5FriJwfFMwQx2v2f9mCL,solana canonical
BONK,solana,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,solana canonical
BONK,eth,0x1151cb3d861920e07a38e03eead12c32178567f6,ethereum bridged
BONK,arbitrum,0x09199d9a5f4448d0848e4395d065e1ad9c4a1f74,arbitrum bridged
SHIB,eth,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,ethereum canonical
