token_symbol,start_date,end_date,row_count,cex_volume_median,dex_volume_median,dex_share_median,missing_price,dex_net_buy_ratio_proxy_median,top_pool_volume_share_median,dex_pool_herfindahl_median,dex_volume_to_tvl_median,active_pool_count_median
AAVE,2026-01-09,2026-07-05,178,77054353.82743119,2005118.0326831853,0.027338758410672275,0,-0.21961943225889236,0.5994225099268371,0.44292182709866623,0.09658434879456596,5.0
ARB,2026-01-09,2026-07-05,178,14141226.112568323,6130483.113357207,0.3000451571737526,0,-0.2003532658950262,0.8566692363112164,0.7442672426315959,1.1670583797635254,5.0
CRV,2026-01-09,2026-07-05,178,14216349.87233086,581289.8354170438,0.0400276549260664,0,-0.17618334299602922,0.5598608028483916,0.411814701796526,0.16616181121034732,5.0
ENA,2026-01-09,2026-07-05,178,32733233.89649101,349301.1744537647,0.00985910301105085,0,-0.24618780599659815,0.6744868282564603,0.545654850341874,0.12198818424987071,5.0
LDO,2026-01-09,2026-07-05,178,6407899.190431986,264594.289682455,0.026148169265166263,0,-0.11691047682010436,0.733778112758102,0.5613083016305978,0.23888154139326545,5.0
LINK,2026-01-09,2026-07-05,178,83663500.5974319,5440824.843708873,0.06397117187287682,0,-0.11642882670421087,0.5766758322075891,0.4334408351131482,0.11165062971104517,5.0
OP,2026-01-09,2026-07-05,178,10322599.878041651,768597.2259648149,0.06503944298257444,0,-0.14215387267988627,0.7770250431191762,0.6259899637697772,1.0658427110010589,5.0
PENDLE,2026-01-09,2026-07-05,178,7348021.296753464,918088.7484966378,0.09462028722291686,0,-0.12558401412414122,0.42893981030016903,0.2913564841621432,0.22556182967053284,5.0
PEPE,2026-01-09,2026-07-05,178,78027067.863816,716957.3771238191,0.009915643385603655,0,-0.18866487653865593,0.9688220303281819,0.939056063370805,0.03296318224996657,5.0
UNI,2026-01-09,2026-07-05,178,40057403.38951485,870295.262537072,0.020863047912187866,0,-0.1455838130048377,0.6642964796383195,0.49444665313829206,0.03976299411867508,5.0
