token_id,event_type,event_time,event_name,event_size_token,event_size_usd,event_size_supply_pct,source,secondary_source,confidence,notes
ARB,unlock,2026-01-16,Monthly team and investor unlock,,,,https://forum.arbitrum.foundation/t/request-for-comment-proposal-to-activate-arb-staking/16240,https://defillama.com/unlocks/arbitrum,medium,Official forum confirms monthly vesting; exact day follows the DefiLlama schedule and size is left blank
ARB,unlock,2026-02-16,Monthly team and investor unlock,,,,https://forum.arbitrum.foundation/t/request-for-comment-proposal-to-activate-arb-staking/16240,https://defillama.com/unlocks/arbitrum,medium,Official forum confirms monthly vesting; exact day follows the DefiLlama schedule and size is left blank
ARB,unlock,2026-03-16,Monthly team and investor unlock,,,,https://forum.arbitrum.foundation/t/request-for-comment-proposal-to-activate-arb-staking/16240,https://defillama.com/unlocks/arbitrum,medium,Official forum confirms monthly vesting; exact day follows the DefiLlama schedule and size is left blank
ARB,unlock,2026-04-16,Monthly team and investor unlock,,,,https://forum.arbitrum.foundation/t/request-for-comment-proposal-to-activate-arb-staking/16240,https://defillama.com/unlocks/arbitrum,medium,Official forum confirms monthly vesting; exact day follows the DefiLlama schedule and size is left blank
ARB,unlock,2026-05-16,Monthly team and investor unlock,,,,https://forum.arbitrum.foundation/t/request-for-comment-proposal-to-activate-arb-staking/16240,https://defillama.com/unlocks/arbitrum,medium,Official forum confirms monthly vesting; exact day follows the DefiLlama schedule and size is left blank
ARB,unlock,2026-06-16,Monthly team and investor unlock,,,,https://forum.arbitrum.foundation/t/request-for-comment-proposal-to-activate-arb-staking/16240,https://defillama.com/unlocks/arbitrum,medium,Official forum confirms monthly vesting; exact day follows the DefiLlama schedule and size is left blank
OP,unlock,2026-01-28,Estimated scheduled OP unlock,,,,https://docs.optimism.io/governance/capital-allocation,https://app.tokenomics.com/tokenomics/optimism/unlocks,medium,Optimism labels its supply sheet as estimated; event date follows Tokenomics.com and size is left blank
OP,unlock,2026-02-28,Estimated scheduled OP unlock,,,,https://docs.optimism.io/governance/capital-allocation,https://app.tokenomics.com/tokenomics/optimism/unlocks,medium,Optimism labels its supply sheet as estimated; event date follows Tokenomics.com and size is left blank
OP,unlock,2026-04-28,Estimated scheduled OP unlock,,,,https://docs.optimism.io/governance/capital-allocation,https://app.tokenomics.com/tokenomics/optimism/unlocks,medium,Optimism labels its supply sheet as estimated; event date follows Tokenomics.com and size is left blank
OP,unlock,2026-05-28,Estimated scheduled OP unlock,,,,https://docs.optimism.io/governance/capital-allocation,https://app.tokenomics.com/tokenomics/optimism/unlocks,medium,Optimism labels its supply sheet as estimated; event date follows Tokenomics.com and size is left blank
OP,unlock,2026-06-28,Estimated scheduled OP unlock,,,,https://docs.optimism.io/governance/capital-allocation,https://app.tokenomics.com/tokenomics/optimism/unlocks,medium,Optimism labels its supply sheet as estimated; event date follows Tokenomics.com and size is left blank
ENA,unlock,2026-02-01,Monthly ENA allocation unlock,,,,https://docs.ethena.fi/ena/tokenomics,https://app.tokenomics.com/tokenomics/ethena/unlocks,medium,Official tokenomics confirms monthly vesting; exact day follows Tokenomics.com and size is left blank
ENA,unlock,2026-03-01,Monthly ENA allocation unlock,,,,https://docs.ethena.fi/ena/tokenomics,https://app.tokenomics.com/tokenomics/ethena/unlocks,medium,Official tokenomics confirms monthly vesting; exact day follows Tokenomics.com and size is left blank
ENA,unlock,2026-04-01,Monthly ENA allocation unlock,,,,https://docs.ethena.fi/ena/tokenomics,https://app.tokenomics.com/tokenomics/ethena/unlocks,medium,Official tokenomics confirms monthly vesting; exact day follows Tokenomics.com and size is left blank
ENA,unlock,2026-05-01,Monthly ENA allocation unlock,,,,https://docs.ethena.fi/ena/tokenomics,https://app.tokenomics.com/tokenomics/ethena/unlocks,medium,Official tokenomics confirms monthly vesting; exact day follows Tokenomics.com and size is left blank
ENA,unlock,2026-06-01,Monthly ENA allocation unlock,,,,https://docs.ethena.fi/ena/tokenomics,https://app.tokenomics.com/tokenomics/ethena/unlocks,medium,Official tokenomics confirms monthly vesting; exact day follows Tokenomics.com and size is left blank
ENA,unlock,2026-07-01,Monthly ENA allocation unlock,,,,https://docs.ethena.fi/ena/tokenomics,https://app.tokenomics.com/tokenomics/ethena/unlocks,medium,Official tokenomics confirms monthly vesting; exact day follows Tokenomics.com and size is left blank
LINK,unlock,2026-04-04,Observed quarterly LINK supply release,17875000,,,https://finance.yahoo.com/markets/crypto/articles/massive-chainlink-token-unlock-sparks-153100635.html,https://chain.link/circulating-supply,high,Observed onchain transfer from non-circulating supply; USD value is left blank
LINK,unlock,2026-06-19,Observed quarterly LINK supply release,21000000,,,https://defillama.com/protocol/unlocks/chainlink,https://chain.link/circulating-supply,high,DefiLlama tracks transfers from official non-circulating wallets; USD value is left blank
MORPHO,unlock,2026-01-21,Monthly founder and strategic partner unlock,,,,https://docs.morpho.org/learn/governance/morpho-token/,https://app.tokenomics.com/tokenomics/morpho/unlocks,medium,Official docs confirm linear vesting; exact day follows the team-verified Tokenomics schedule and size is left blank
MORPHO,unlock,2026-02-21,Monthly founder and strategic partner unlock,,,,https://docs.morpho.org/learn/governance/morpho-token/,https://app.tokenomics.com/tokenomics/morpho/unlocks,medium,Official docs confirm linear vesting; exact day follows the team-verified Tokenomics schedule and size is left blank
MORPHO,unlock,2026-03-21,Monthly founder and strategic partner unlock,,,,https://docs.morpho.org/learn/governance/morpho-token/,https://app.tokenomics.com/tokenomics/morpho/unlocks,medium,Official docs confirm linear vesting; exact day follows the team-verified Tokenomics schedule and size is left blank
MORPHO,unlock,2026-04-21,Monthly founder and strategic partner unlock,,,,https://docs.morpho.org/learn/governance/morpho-token/,https://app.tokenomics.com/tokenomics/morpho/unlocks,medium,Official docs confirm linear vesting; exact day follows the team-verified Tokenomics schedule and size is left blank
MORPHO,unlock,2026-05-21,Monthly founder and strategic partner unlock,,,,https://docs.morpho.org/learn/governance/morpho-token/,https://app.tokenomics.com/tokenomics/morpho/unlocks,medium,Official docs confirm linear vesting; exact day follows the team-verified Tokenomics schedule and size is left blank
MORPHO,unlock,2026-06-21,Monthly founder and strategic partner unlock,,,,https://docs.morpho.org/learn/governance/morpho-token/,https://app.tokenomics.com/tokenomics/morpho/unlocks,medium,Official docs confirm linear vesting; exact day follows the team-verified Tokenomics schedule and size is left blank
ONDO,unlock,2026-01-18,Annual ONDO allocation unlock,,,,https://app.tokenomics.com/tokenomics/ondo/unlocks,,medium,The schedule is marked as verified by the Ondo team; exact historical size is left blank
EIGEN,unlock,2026-01-11,Monthly investor and early contributor unlock,,,,https://blog.eigenfoundation.org/announcement/,https://app.tokenomics.com/tokenomics/eigenlayer/unlocks,medium,The official announcement confirms monthly vesting; exact day follows Tokenomics and size is left blank
EIGEN,unlock,2026-02-11,Monthly investor and early contributor unlock,,,,https://blog.eigenfoundation.org/announcement/,https://app.tokenomics.com/tokenomics/eigenlayer/unlocks,medium,The official announcement confirms monthly vesting; exact day follows Tokenomics and size is left blank
EIGEN,unlock,2026-03-11,Monthly investor and early contributor unlock,,,,https://blog.eigenfoundation.org/announcement/,https://app.tokenomics.com/tokenomics/eigenlayer/unlocks,medium,The official announcement confirms monthly vesting; exact day follows Tokenomics and size is left blank
EIGEN,unlock,2026-04-11,Monthly investor and early contributor unlock,,,,https://blog.eigenfoundation.org/announcement/,https://app.tokenomics.com/tokenomics/eigenlayer/unlocks,medium,The official announcement confirms monthly vesting; exact day follows Tokenomics and size is left blank
EIGEN,unlock,2026-05-11,Monthly investor and early contributor unlock,,,,https://blog.eigenfoundation.org/announcement/,https://app.tokenomics.com/tokenomics/eigenlayer/unlocks,medium,The official announcement confirms monthly vesting; exact day follows Tokenomics and size is left blank
EIGEN,unlock,2026-06-11,Monthly investor and early contributor unlock,,,,https://blog.eigenfoundation.org/announcement/,https://app.tokenomics.com/tokenomics/eigenlayer/unlocks,medium,The official announcement confirms monthly vesting; exact day follows Tokenomics and size is left blank
ETHFI,unlock,2026-01-15,Monthly ETHFI allocation unlock,,,,https://etherfi.gitbook.io/gov/ethfi-allocations,https://app.tokenomics.com/tokenomics/ether-fi/unlocks,medium,Official allocations confirm multi-year vesting; exact day follows Tokenomics and size is left blank
ETHFI,unlock,2026-02-15,Monthly ETHFI allocation unlock,,,,https://etherfi.gitbook.io/gov/ethfi-allocations,https://app.tokenomics.com/tokenomics/ether-fi/unlocks,medium,Official allocations confirm multi-year vesting; exact day follows Tokenomics and size is left blank
ETHFI,unlock,2026-03-15,Monthly ETHFI allocation unlock,,,,https://etherfi.gitbook.io/gov/ethfi-allocations,https://app.tokenomics.com/tokenomics/ether-fi/unlocks,medium,Official allocations confirm multi-year vesting; exact day follows Tokenomics and size is left blank
ETHFI,unlock,2026-04-15,Monthly ETHFI allocation unlock,,,,https://etherfi.gitbook.io/gov/ethfi-allocations,https://app.tokenomics.com/tokenomics/ether-fi/unlocks,medium,Official allocations confirm multi-year vesting; exact day follows Tokenomics and size is left blank
ETHFI,unlock,2026-05-15,Monthly ETHFI allocation unlock,,,,https://etherfi.gitbook.io/gov/ethfi-allocations,https://app.tokenomics.com/tokenomics/ether-fi/unlocks,medium,Official allocations confirm multi-year vesting; exact day follows Tokenomics and size is left blank
ETHFI,unlock,2026-06-15,Monthly ETHFI allocation unlock,,,,https://etherfi.gitbook.io/gov/ethfi-allocations,https://app.tokenomics.com/tokenomics/ether-fi/unlocks,medium,Official allocations confirm multi-year vesting; exact day follows Tokenomics and size is left blank
GRT,unlock,2026-01-17,Monthly long-term allocation unlock,,,,https://thegraph.com/blog/announcing-the-graphs-grt-sale/,https://app.tokenomics.com/tokenomics/the-graph/unlocks,medium,Official distribution material confirms long-term vesting; exact day follows Tokenomics and size is left blank
GRT,unlock,2026-02-17,Monthly long-term allocation unlock,,,,https://thegraph.com/blog/announcing-the-graphs-grt-sale/,https://app.tokenomics.com/tokenomics/the-graph/unlocks,medium,Official distribution material confirms long-term vesting; exact day follows Tokenomics and size is left blank
GRT,unlock,2026-03-17,Monthly long-term allocation unlock,,,,https://thegraph.com/blog/announcing-the-graphs-grt-sale/,https://app.tokenomics.com/tokenomics/the-graph/unlocks,medium,Official distribution material confirms long-term vesting; exact day follows Tokenomics and size is left blank
GRT,unlock,2026-04-17,Monthly long-term allocation unlock,,,,https://thegraph.com/blog/announcing-the-graphs-grt-sale/,https://app.tokenomics.com/tokenomics/the-graph/unlocks,medium,Official distribution material confirms long-term vesting; exact day follows Tokenomics and size is left blank
GRT,unlock,2026-05-17,Monthly long-term allocation unlock,,,,https://thegraph.com/blog/announcing-the-graphs-grt-sale/,https://app.tokenomics.com/tokenomics/the-graph/unlocks,medium,Official distribution material confirms long-term vesting; exact day follows Tokenomics and size is left blank
GRT,unlock,2026-06-17,Monthly long-term allocation unlock,,,,https://thegraph.com/blog/announcing-the-graphs-grt-sale/,https://app.tokenomics.com/tokenomics/the-graph/unlocks,medium,Official distribution material confirms long-term vesting; exact day follows Tokenomics and size is left blank
ENS,unlock,2026-02-08,Monthly contributor allocation unlock,,,,https://docs.ens.domains/dao/token/,https://app.tokenomics.com/tokenomics/ethereum-name-service/unlocks,medium,Official docs confirm the contributor allocation; exact schedule follows Tokenomics and size is left blank
ENS,unlock,2026-03-08,Monthly contributor allocation unlock,,,,https://docs.ens.domains/dao/token/,https://app.tokenomics.com/tokenomics/ethereum-name-service/unlocks,medium,Official docs confirm the contributor allocation; exact schedule follows Tokenomics and size is left blank
ENS,unlock,2026-04-08,Monthly contributor allocation unlock,,,,https://docs.ens.domains/dao/token/,https://app.tokenomics.com/tokenomics/ethereum-name-service/unlocks,medium,Official docs confirm the contributor allocation; exact schedule follows Tokenomics and size is left blank
ENS,unlock,2026-05-08,Monthly contributor allocation unlock,,,,https://docs.ens.domains/dao/token/,https://app.tokenomics.com/tokenomics/ethereum-name-service/unlocks,medium,Official docs confirm the contributor allocation; exact schedule follows Tokenomics and size is left blank
ENS,unlock,2026-06-08,Monthly contributor allocation unlock,,,,https://docs.ens.domains/dao/token/,https://app.tokenomics.com/tokenomics/ethereum-name-service/unlocks,medium,Official docs confirm the contributor allocation; exact schedule follows Tokenomics and size is left blank
STRK,unlock,2026-01-15,Monthly investor and early contributor unlock,127000000,,1.27,https://docs.starknet.io/learn/protocol/strk,,medium,Official Starknet docs specify up to 127 million STRK on the fifteenth of each month; amount is a scheduled maximum
STRK,unlock,2026-02-15,Monthly investor and early contributor unlock,127000000,,1.27,https://docs.starknet.io/learn/protocol/strk,,medium,Official Starknet docs specify up to 127 million STRK on the fifteenth of each month; amount is a scheduled maximum
STRK,unlock,2026-03-15,Monthly investor and early contributor unlock,127000000,,1.27,https://docs.starknet.io/learn/protocol/strk,,medium,Official Starknet docs specify up to 127 million STRK on the fifteenth of each month; amount is a scheduled maximum
STRK,unlock,2026-04-15,Monthly investor and early contributor unlock,127000000,,1.27,https://docs.starknet.io/learn/protocol/strk,,medium,Official Starknet docs specify up to 127 million STRK on the fifteenth of each month; amount is a scheduled maximum
STRK,unlock,2026-05-15,Monthly investor and early contributor unlock,127000000,,1.27,https://docs.starknet.io/learn/protocol/strk,,medium,Official Starknet docs specify up to 127 million STRK on the fifteenth of each month; amount is a scheduled maximum
STRK,unlock,2026-06-15,Monthly investor and early contributor unlock,127000000,,1.27,https://docs.starknet.io/learn/protocol/strk,,medium,Official Starknet docs specify up to 127 million STRK on the fifteenth of each month; amount is a scheduled maximum
ZK,unlock,2026-01-17,Monthly investor and team unlock,,,,https://docs.zknation.io/zk-token/zk-token,https://app.tokenomics.com/tokenomics/zksync/unlocks,medium,Official docs confirm monthly investor and team vesting; exact day follows Tokenomics and size is left blank
ZK,unlock,2026-02-17,Monthly investor and team unlock,,,,https://docs.zknation.io/zk-token/zk-token,https://app.tokenomics.com/tokenomics/zksync/unlocks,medium,Official docs confirm monthly investor and team vesting; exact day follows Tokenomics and size is left blank
ZK,unlock,2026-03-17,Monthly investor and team unlock,,,,https://docs.zknation.io/zk-token/zk-token,https://app.tokenomics.com/tokenomics/zksync/unlocks,medium,Official docs confirm monthly investor and team vesting; exact day follows Tokenomics and size is left blank
ZK,unlock,2026-04-17,Monthly investor and team unlock,,,,https://docs.zknation.io/zk-token/zk-token,https://app.tokenomics.com/tokenomics/zksync/unlocks,medium,Official docs confirm monthly investor and team vesting; exact day follows Tokenomics and size is left blank
ZK,unlock,2026-05-17,Monthly investor and team unlock,,,,https://docs.zknation.io/zk-token/zk-token,https://app.tokenomics.com/tokenomics/zksync/unlocks,medium,Official docs confirm monthly investor and team vesting; exact day follows Tokenomics and size is left blank
ZK,unlock,2026-06-17,Monthly investor and team unlock,,,,https://docs.zknation.io/zk-token/zk-token,https://app.tokenomics.com/tokenomics/zksync/unlocks,medium,Official docs confirm monthly investor and team vesting; exact day follows Tokenomics and size is left blank
JUP,unlock,2026-02-28,Net-zero related Mercurial stakeholder release,,,,https://discuss.jup.ag/t/proposal-net-zero-emissions/39948,https://app.tokenomics.com/tokenomics/jupiter/unlocks,medium,The official proposal confirms the release mechanism; exact day follows the team-verified Tokenomics schedule and size is left blank
JTO,unlock,2026-02-07,Monthly investor and core contributor unlock,,,,https://www.jito.network/docs/governance/the-jito-governance-token-jto/,https://app.tokenomics.com/tokenomics/jito/unlocks,medium,Official docs confirm three-year vesting; exact day follows Tokenomics and size is left blank
JTO,unlock,2026-03-07,Monthly investor and core contributor unlock,,,,https://www.jito.network/docs/governance/the-jito-governance-token-jto/,https://app.tokenomics.com/tokenomics/jito/unlocks,medium,Official docs confirm three-year vesting; exact day follows Tokenomics and size is left blank
JTO,unlock,2026-04-07,Monthly investor and core contributor unlock,,,,https://www.jito.network/docs/governance/the-jito-governance-token-jto/,https://app.tokenomics.com/tokenomics/jito/unlocks,medium,Official docs confirm three-year vesting; exact day follows Tokenomics and size is left blank
JTO,unlock,2026-05-07,Monthly investor and core contributor unlock,,,,https://www.jito.network/docs/governance/the-jito-governance-token-jto/,https://app.tokenomics.com/tokenomics/jito/unlocks,medium,Official docs confirm three-year vesting; exact day follows Tokenomics and size is left blank
JTO,unlock,2026-06-07,Monthly investor and core contributor unlock,,,,https://www.jito.network/docs/governance/the-jito-governance-token-jto/,https://app.tokenomics.com/tokenomics/jito/unlocks,medium,Official docs confirm three-year vesting; exact day follows Tokenomics and size is left blank
